"vuosi";"atyyppi";"amuutto_lahto";"tyopaikka_muutto_lahto";"tyollistyy_muutto_lahto";"amuutto_tulo";"tyopaikka_muutto_tulo";"tyollistyy_muutto_tulo";"tyo_muutto_lahto";"tyo_muutto_tulo"
1996;"ms";10704;740;1569;6890;448;775;2309;1223
1996;"ydinms";19394;1369;2687;14533;961;1578;4056;2539
1996;"kaupms";16623;939;1983;14739;875;1455;2922;2330
1996;"kaup";24963;1586;2973;22999;1660;2617;4559;4277
1996;"tkakeskus";23979;2094;3479;20702;1669;2472;5573;4141
1996;"yokaup";27851;2787;4018;34677;2698;4606;6805;7304
1996;"pk";29557;2105;2952;38531;3309;6158;5057;9467
1997;"ms";11215;985;1845;6992;611;844;2830;1455
1997;"ydinms";19448;1665;3016;14850;1219;1808;4681;3027
1997;"kaupms";16117;1150;2043;15595;1265;1725;3193;2990
1997;"kaup";24109;1966;3067;23501;2063;2978;5033;5041
1997;"tkakeskus";24806;2578;3969;21204;2017;2861;6547;4878
1997;"yokaup";30189;3581;4854;35227;3255;4990;8435;8245
1997;"pk";29901;2694;3223;38416;4189;6811;5917;11000
1998;"ms";11979;1155;1979;7128;637;941;3134;1578
1998;"ydinms";20283;2005;3296;15530;1517;1966;5301;3483
1998;"kaupms";17122;1497;2255;16497;1503;1682;3752;3185
1998;"kaup";25464;2438;3460;25014;2591;3062;5898;5653
1998;"tkakeskus";25993;3045;4527;22780;2577;3232;7572;5809
1998;"yokaup";32537;4398;5616;37823;3936;5775;10014;9711
1998;"pk";32031;3493;3441;40637;5270;7916;6934;13186
1999;"ms";11853;1168;1856;7203;645;906;3024;1551
1999;"ydinms";20285;2041;3124;16019;1567;1787;5165;3354
1999;"kaupms";17204;1505;2118;16826;1574;1641;3623;3215
1999;"kaup";25212;2806;3036;26053;2961;3039;5842;6000
1999;"tkakeskus";26759;3354;4538;22487;2545;2870;7892;5415
1999;"yokaup";33869;4840;5507;38763;4288;5479;10347;9767
1999;"pk";33583;4016;3101;41414;6150;7558;7117;13708
2000;"ms";11804;1319;1928;7216;810;856;3247;1666
2000;"ydinms";20672;2338;3280;15521;1727;1745;5618;3472
2000;"kaupms";17142;1769;2205;17433;1917;1718;3974;3635
2000;"kaup";25540;3070;3175;26442;3241;3049;6245;6290
2000;"tkakeskus";26917;3769;4737;22853;2786;3028;8506;5814
2000;"yokaup";34873;5385;5655;40545;5177;5897;11040;11074
2000;"pk";34982;4578;3190;41920;6570;7877;7768;14447
2001;"ms";12121;1376;1827;7647;879;857;3203;1736
2001;"ydinms";21978;2607;3176;16752;1935;1773;5783;3708
2001;"kaupms";18342;1981;2194;18489;2080;1685;4175;3765
2001;"kaup";27381;3397;3198;28714;3946;3077;6595;7023
2001;"tkakeskus";27820;3962;4431;24678;3148;3132;8393;6280
2001;"yokaup";36977;5927;5843;43582;5737;5914;11770;11651
2001;"pk";39221;5815;3150;43978;7340;7381;8965;14721
2002;"ms";10735;1208;1506;7731;889;884;2714;1773
2002;"ydinms";20168;2315;2654;16803;1943;1784;4969;3727
2002;"kaupms";17459;1803;2091;18468;2116;1588;3894;3704
2002;"kaup";27103;3285;2951;28018;3399;2791;6236;6190
2002;"tkakeskus";26007;3502;3864;23717;3143;2923;7366;6066
2002;"yokaup";36746;5536;5509;40991;5413;5334;11045;10747
2002;"pk";40024;5409;3053;42514;6155;6324;8462;12479
2003;"ms";10438;1204;1491;7990;946;840;2695;1786
2003;"ydinms";19799;2174;2661;17062;1939;1760;4835;3699
2003;"kaupms";17706;1799;1964;18983;2065;1506;3763;3571
2003;"kaup";26973;3128;2728;29437;3486;2882;5856;6368
2003;"tkakeskus";25708;3393;3631;23664;3107;2920;7024;6027
2003;"yokaup";36694;5186;5019;40018;5217;5117;10205;10334
2003;"pk";40805;5258;3146;40969;5382;5615;8404;10997
2004;"ms";10726;1281;1553;8123;1020;825;2834;1845
2004;"ydinms";20196;2266;2602;17485;1948;1810;4868;3758
2004;"kaupms";18497;1879;2067;19841;2182;1730;3946;3912
2004;"kaup";28199;3292;3145;30239;3658;3005;6437;6663
2004;"tkakeskus";26383;3577;3790;24364;3177;3062;7367;6239
2004;"yokaup";38391;5583;5612;41525;5510;5675;11195;11185
2004;"pk";40672;5508;3384;41487;5891;6046;8892;11937
2005;"ms";10823;1340;1635;8143;1125;947;2975;2072
2005;"ydinms";20613;2615;2933;17481;2220;1977;5548;4197
2005;"kaupms";19285;2216;2293;20942;2541;1841;4509;4382
2005;"kaup";29650;3933;3445;31041;4248;3115;7378;7363
2005;"tkakeskus";26850;4108;4155;24713;3697;3419;8263;7116
2005;"yokaup";40262;6631;6179;42845;6048;6262;12810;12310
2005;"pk";40956;5885;3579;43274;6849;6658;9464;13507
2006;"ms";10890;1188;1479;8035;913;711;2667;1624
2006;"ydinms";21242;2343;2720;17969;1994;1655;5063;3649
2006;"kaupms";19239;2163;2085;20977;2350;1581;4248;3931
2006;"kaup";28706;3776;2991;30824;3920;2785;6767;6705
2006;"tkakeskus";26944;3714;3554;24551;3083;2734;7268;5817
2006;"yokaup";41095;5867;5124;42978;5586;5523;10991;11109
2006;"pk";39706;5573;2986;42488;6778;5950;8559;12728
2007;"ms";10816;1295;1827;7962;1068;998;3122;2066
2007;"ydinms";20888;2673;3213;17871;2327;2183;5886;4510
2007;"kaupms";20038;2479;2559;21449;2834;2058;5038;4892
2007;"kaup";29251;4341;3574;32071;4696;3468;7915;8164
2007;"tkakeskus";27524;4325;4593;25471;3596;3667;8918;7263
2007;"yokaup";42563;6956;7016;44253;6458;6929;13972;13387
2007;"pk";40269;6334;3817;42272;7424;7296;10151;14720
2008;"ms";10573;1765;1589;7834;1464;861;3354;2325
2008;"ydinms";21128;3513;3047;17362;2963;1839;6560;4802
2008;"kaupms";20492;3072;2411;19600;3282;1775;5483;5057
2008;"kaup";28062;5207;3182;29838;5649;3102;8389;8751
2008;"tkakeskus";26618;5261;4040;24674;4759;3184;9301;7943
2008;"yokaup";40857;9079;6217;43945;8470;6377;15296;14847
2008;"pk";38267;7853;3548;42744;9163;6896;11401;16059
2009;"ms";9722;1336;1141;7593;1281;714;2477;1995
2009;"ydinms";19757;2661;2234;16838;2279;1485;4895;3764
2009;"kaupms";18371;2397;1872;19215;2716;1332;4269;4048
2009;"kaup";28617;4482;2536;28959;4513;2300;7018;6813
2009;"tkakeskus";25380;4167;3023;23796;3759;2499;7190;6258
2009;"yokaup";39349;7525;4801;42371;6699;4932;12326;11631
2009;"pk";39538;6632;2908;41962;7953;5253;9540;13206
2010;"ms";10017;1456;1441;8214;1348;981;2897;2329
2010;"ydinms";19953;2708;2919;17365;2555;1958;5627;4513
2010;"kaupms";20112;2678;2540;19377;2782;1783;5218;4565
2010;"kaup";29665;4764;3517;30322;4815;3119;8281;7934
2010;"tkakeskus";26026;4369;3878;24714;3961;3382;8247;7343
2010;"yokaup";41398;7960;6356;44647;7230;6494;14316;13724
2010;"pk";39829;6851;3465;42361;8095;6399;10316;14494
2011;"ms";10264;1660;1401;8109;1406;872;3061;2278
2011;"ydinms";21304;3191;3049;18092;2815;1969;6240;4784
2011;"kaupms";20722;3039;2497;20211;3135;1846;5536;4981
2011;"kaup";30769;5300;3646;30361;5281;3158;8946;8439
2011;"tkakeskus";27133;4946;3929;25858;4617;3489;8875;8106
2011;"yokaup";42967;9011;6341;46822;8211;6668;15352;14879
2011;"pk";40352;7741;3579;44058;9423;6440;11320;15863
2012;"ms";10059;1515;1319;7942;1343;898;2834;2241
2012;"ydinms";20916;3062;2623;17384;2612;1755;5685;4367
2012;"kaupms";20337;2895;2223;19779;3028;1579;5118;4607
2012;"kaup";31081;5081;3288;30375;5052;2693;8369;7745
2012;"tkakeskus";26989;4929;3549;25130;4174;3030;8478;7204
2012;"yokaup";42299;8554;5797;46882;8029;6182;14351;14211
2012;"pk";41658;7527;3467;45847;9325;6129;10994;15454
2013;"ms";9639;1415;1185;7681;1287;759;2600;2046
2013;"ydinms";20316;2825;2483;16735;2444;1551;5308;3995
2013;"kaupms";19585;2705;2106;18180;2735;1380;4811;4115
2013;"kaup";29629;4776;2898;29318;4751;2497;7674;7248
2013;"tkakeskus";26426;4623;3238;24318;3955;2828;7861;6783
2013;"yokaup";41325;8377;5449;46445;7984;5683;13826;13667
2013;"pk";40495;7497;3151;44738;9062;5812;10648;14874
2014;"ms";9451;1270;1142;7574;1180;834;2412;2014
2014;"ydinms";19892;2421;2358;16474;2157;1580;4779;3737
2014;"kaupms";19590;2454;2057;18045;2351;1412;4511;3763
2014;"kaup";30059;4351;3106;29090;4150;2601;7457;6751
2014;"tkakeskus";26894;4270;3296;24675;3632;2995;7566;6627
2014;"yokaup";41886;7903;5550;47218;7297;5636;13453;12933
2014;"pk";40593;6494;3289;45289;8396;5740;9783;14136
2015;"ms";9587;1318;1138;7485;1241;845;2456;2086
2015;"ydinms";20696;2676;2546;16487;2201;1566;5222;3767
2015;"kaupms";19860;2628;2149;18290;2483;1576;4777;4059
2015;"kaup";30753;4662;3178;29916;4525;2845;7840;7370
2015;"tkakeskus";27565;4690;3414;25024;3840;2984;8104;6824
2015;"yokaup";43938;8490;6166;49305;7996;6050;14656;14046
2015;"pk";42250;7286;3558;48142;9464;6283;10844;15747
